"Timestamp","Entering Grade Level","District","Birth Month","OLSAT Verbal Percentile","NNAT Non Verbal Percentile","Overall Score","School Preferences","School Assigned","Will you enroll there?","Year"
2017-05-07,1,1,"October",99,99,99,"Nest, Anderson",NA,"Yes",2017
2017-05-08,0,25,"August",70,99,93,NA,NA,NA,2017
2017-05-09,2,2,"May",98,95,97,"Anderson (Sibling)",NA,"Yes",2017
2017-05-10,0,2,"July",87,99,96,"11,198,33",NA,"Yes",2017
2017-05-15,1,21,"November",99,99,99,"Bsi",NA,NA,2017
2017-05-16,0,28,"December",99,99,99,"NEST/Anderson/Q300",NA,NA,2017
2017-05-24,0,30,"February",95,99,98,"300, 217, 122, 166",NA,"Yes",2017
2017-05-24,0,26,"February",98,99,99,"Nest, Q300, PS188, PS203",NA,NA,2017
2017-05-29,0,22,"October",99,99,99,"Brooklyn school of inquiry",NA,"Yes",2017
2017-05-31,0,20,"February",99,99,99,"Bsi",NA,NA,2017
2017-06-01,0,2,"June",97,99,98,"Anderson, NEST, PS130, PS124, Lower Lab, PS11, PS33, TAG, BSI","PS130","Yes",2017
2017-06-01,0,2,"May",99,98,99,"Anderson, NEST, Lower Lab, TAG","TAG","Yes",2017
2017-06-01,0,22,"April",98,99,99,"Brooklyn School of Inquiry","Brooklyn School of Inquiry","Yes",2017
2017-06-01,0,3,"January",93,99,97,"539, 334, 166, 77, 11, 163, 12","163","Maybe",2017
2017-06-01,2,2,"October",99,99,99,"Anderson","None","Yes",2017
2017-06-01,0,2,"July",83,99,95,"LL, PS11, PS33","none",NA,2017
2017-06-01,0,14,"May",99,99,99,"NEST","NEST","Yes",2017
2017-06-01,2,3,"April",99,99,99,"Anderson, Nest, Tag, BSI, Q300, PS166, PS163","PS 163","Maybe",2017
2017-06-01,1,3,"December",99,99,99,"All CW","Q300","Yes",2017
2017-06-01,0,2,"April",99,99,99,"Anderson, Nest+M, Lower Lab, BSI, 33,11,111","Lower Lab","Yes",2017
2017-06-01,0,2,"January",99,99,99,"Anderson, NEST+T, Lower Lab, TAG","Anderson","Yes",2017
2017-06-02,1,2,"March",98,98,98,NA,NA,NA,2017
